review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,prior_weight,new_weight,weight_change,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct
2024-07-31,AVGO,initiate,74.6,74.6,high,0.0,6.61,6.61,158.29,-11.58,3.28,7.83
2024-07-31,NVDA,initiate,71.3,71.3,high,0.0,5.96,5.96,116.96,-14.16,8.74,3.75
2024-07-31,AMD,initiate,58.3,59.1,medium,0.0,3.93,3.93,144.48,-6.69,8.25,13.75
2024-08-07,AMD,exit,56.0,86.0,medium,3.93,0.0,-3.93,128.67,6.3,16.97,32.82
2024-08-07,INTC,initiate,63.1,63.8,medium,0.0,4.3,4.3,18.99,1.95,5.69,18.96
2024-08-07,QCOM,initiate,50.0,50.0,medium,0.0,2.44,2.44,150.16,4.34,11.41,8.75
2024-08-07,MSFT,initiate,50.0,50.0,medium,0.0,2.55,2.55,393.11,2.1,4.05,4.61
2024-08-07,AVGO,hold,74.6,0.0,high,6.61,6.61,0.0,134.25,9.06,18.43,30.05
2024-08-07,NVDA,hold,71.3,0.0,high,5.96,5.96,0.0,98.86,10.22,29.71,26.31
2024-08-14,INTC,exit,63.1,86.0,medium,4.3,0.0,-4.3,19.92,8.03,0.9,18.27
2024-08-14,GOOGL,initiate,77.3,77.3,high,0.0,6.7,6.7,159.24,3.93,-1.88,1.92
2024-08-14,CRWD,initiate,74.7,74.7,high,0.0,6.23,6.23,256.22,4.12,4.05,24.97
2024-08-14,AVGO,add,74.6,55.0,high,6.05,8.52,2.47,155.35,6.35,-3.11,15.47
2024-08-14,NVDA,hold,0.0,0.0,low,5.44,5.44,0.0,118.02,10.09,-8.54,14.17
2024-08-14,MSFT,hold,50.0,0.0,medium,2.55,2.55,0.0,411.3,1.3,-1.6,0.05
2024-08-14,QCOM,hold,64.5,0.0,medium,2.44,2.44,0.0,160.77,4.25,-2.34,2.22
2024-08-21,CRWD,exit,74.7,86.0,high,6.23,0.0,-6.23,273.21,-2.69,-9.32,13.52
2024-08-21,AMZN,initiate,61.4,61.4,medium,0.0,4.23,4.23,180.11,-2.56,-0.31,4.93
2024-08-21,AVGO,add,74.6,55.0,high,8.52,9.99,1.47,163.32,-3.72,-10.6,8.87
2024-08-21,NVDA,add,71.3,55.0,high,6.1,8.42,2.32,128.44,-1.59,-15.88,7.4
2024-08-21,QCOM,add,67.2,55.0,high,2.45,3.98,1.53,167.57,-2.71,-6.72,-1.39
2024-08-21,TSLA,initiate,53.5,53.5,medium,0.0,3.13,3.13,223.27,-4.51,1.3,-1.15
2024-08-21,GOOGL,hold,77.3,0.0,high,6.7,6.7,0.0,164.68,0.19,-10.25,-1.33
2024-08-21,MSFT,hold,64.0,0.0,medium,2.51,2.51,0.0,419.24,-2.51,-2.34,-1.41
2024-08-28,NVDA,add,74.3,59.2,high,8.42,10.1,1.67,125.55,-4.97,-7.97,12.69
2024-08-28,PLTR,initiate,55.7,55.7,medium,0.0,3.31,3.31,30.36,3.69,20.06,47.76
2024-08-28,QCOM,add,67.2,55.0,high,3.98,5.5,1.52,165.29,2.01,-1.33,-0.41
2024-08-28,AVGO,hold,74.6,0.0,high,9.99,9.99,0.0,155.83,2.93,2.71,9.73
2024-08-28,GOOGL,hold,77.3,0.0,high,6.66,6.66,0.0,161.7,0.33,-2.04,1.62
2024-08-28,AMZN,hold,61.4,0.0,medium,4.23,4.23,0.0,170.8,4.51,9.41,9.97
2024-08-28,MSFT,hold,64.0,0.0,medium,2.46,2.46,0.0,405.85,1.59,5.98,4.27
2024-08-28,TSLA,hold,53.5,0.0,medium,3.13,3.13,0.0,205.75,4.06,10.75,30.83
2024-09-04,CRM,initiate,61.9,68.1,medium,0.0,4.33,4.33,245.41,-0.78,9.36,19.18
2024-09-04,META,initiate,65.2,65.2,high,0.0,4.77,4.77,510.23,-1.55,9.97,10.72
2024-09-04,AVGO,hold,74.6,0.0,high,9.68,9.68,0.0,151.83,-8.63,13.82,9.96
2024-09-04,GOOGL,hold,77.3,0.0,high,6.64,6.64,0.0,155.35,-4.82,3.87,9.63
2024-09-04,AMZN,hold,61.4,0.0,medium,4.08,4.08,0.0,173.33,1.19,11.9,14.19
2024-09-04,MSFT,hold,66.7,0.0,high,2.41,2.41,0.0,404.17,-0.78,4.96,0.36
2024-09-04,NVDA,hold,72.7,0.0,high,10.1,10.1,0.0,106.16,0.24,13.81,27.49
2024-09-04,TSLA,hold,53.5,0.0,medium,2.93,2.93,0.0,219.41,-1.43,15.89,13.48
2024-09-04,QCOM,hold,67.2,0.0,high,5.5,5.5,0.0,159.02,-2.26,1.5,0.48
2024-09-04,PLTR,hold,55.7,0.0,medium,3.31,3.31,0.0,30.59,13.11,20.63,37.04
2024-09-11,AMZN,add,61.4,55.0,medium,4.25,5.93,1.67,184.52,0.2,0.33,12.82
2024-09-11,MSFT,add,66.7,55.0,high,2.47,4.01,1.54,418.15,1.96,-0.56,-0.12
2024-09-11,AVGO,hold,76.0,0.0,high,9.7,9.7,0.0,155.92,3.63,6.16,16.41
2024-09-11,GOOGL,hold,77.3,0.0,high,6.56,6.56,0.0,150.29,4.56,10.47,17.99
2024-09-11,NVDA,hold,77.3,0.0,high,8.78,8.78,0.0,116.85,-0.1,0.09,26.29
2024-09-11,TSLA,hold,53.5,0.0,medium,3.22,3.22,0.0,228.13,-0.59,13.1,40.81
2024-09-11,QCOM,hold,67.2,0.0,high,5.44,5.44,0.0,161.03,0.03,-0.47,2.61
2024-09-11,PLTR,hold,55.7,0.0,medium,3.43,3.43,0.0,34.85,4.19,4.62,67.55
2024-09-11,CRM,hold,62.8,0.0,medium,4.33,4.33,0.0,247.28,2.94,8.71,29.2
2024-09-11,META,hold,65.0,0.0,high,4.77,4.77,0.0,509.32,4.29,12.74,15.25
2024-09-18,AMZN,add,61.4,55.0,medium,5.93,7.42,1.49,186.43,4.0,-1.99,8.68
2024-09-18,MSFT,add,66.7,55.0,high,4.01,5.54,1.53,425.83,0.63,-3.74,-3.67
2024-09-18,AVGO,hold,76.0,0.0,high,9.74,9.74,0.0,159.27,7.32,12.16,2.3
2024-09-18,GOOGL,hold,77.3,0.0,high,6.21,6.21,0.0,158.89,1.28,2.86,7.93
