review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2024-07-31,1007090.93,50.63,1007040.3,4,0.01,SPY,85.35
2024-08-07,935417.93,51.78,935366.15,7,0.01,SPY,74.93
2024-08-14,996778.82,48.89,996729.93,9,0.0,SPY,63.82
2024-08-21,1044673.14,77.76,1044595.38,11,0.01,SPY,46.75
2024-08-28,1018581.79,37995.7,980586.1,10,3.73,SPY,47.75
2024-09-04,989662.76,44502.81,945159.95,10,4.5,SPY,48.5
2024-09-11,1024070.06,75.99,1023994.07,11,0.01,SPY,46.65
2024-09-18,1036869.77,75.99,1036793.78,11,0.01,SPY,46.65
2024-09-25,1074707.05,75.99,1074631.06,11,0.01,SPY,45.84
2024-10-02,1066236.19,75.99,1066160.2,11,0.01,SPY,46.11
2024-10-09,1115384.07,75.99,1115308.08,11,0.01,SPY,44.72
2024-10-16,1104094.92,75.99,1104018.93,11,0.01,SPY,45.58
2024-10-23,1100689.74,75.99,1100613.75,11,0.01,SPY,45.38
2024-10-30,1106391.74,75.99,1106315.75,11,0.01,SPY,45.31
2024-11-06,1146023.77,75.99,1145947.78,11,0.01,SPY,44.57
2024-11-13,1159267.81,75.99,1159191.82,11,0.01,SPY,44.52
2024-11-20,1138091.25,93.04,1137998.21,11,0.01,SPY,44.54
2024-11-27,1141469.61,93.04,1141376.58,11,0.01,SPY,45.03
2024-12-04,1180111.61,93.04,1180018.58,11,0.01,SPY,44.2
2024-12-11,1145463.27,68.36,1145394.91,11,0.01,SPY,44.13
2024-12-18,1130335.2,8799.87,1121535.32,11,0.78,SPY,43.16
2024-12-25,1189525.32,9428.68,1180096.63,11,0.79,SPY,42.21
2025-01-01,1147336.75,9428.68,1137908.07,11,0.82,SPY,42.65
