review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,prior_weight,new_weight,weight_change,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct
2024-07-31,AVGO,initiate,77.0,77.0,high,0.0,6.95,6.95,158.29,-11.58,3.28,7.83
2024-07-31,NVDA,initiate,66.6,66.6,high,0.0,5.24,5.24,116.96,-14.16,8.74,3.75
2024-07-31,MSFT,initiate,50.0,55.7,medium,0.0,2.45,2.45,412.77,-5.55,1.72,2.5
2024-08-01,ORCL,initiate,65.7,65.7,high,0.0,4.85,4.85,135.49,-6.76,1.96,23.92
2024-08-01,AAPL,initiate,53.7,53.7,medium,0.0,3.02,3.02,216.68,-5.1,3.8,6.83
2024-08-01,MU,initiate,48.8,48.8,medium,0.0,2.47,2.47,100.93,-12.32,6.72,2.17
2024-08-01,NVDA,hold,66.6,0.0,high,5.24,5.24,0.0,109.16,-4.54,17.66,11.21
2024-08-01,MSFT,hold,48.0,0.0,medium,2.45,2.45,0.0,411.55,-4.2,1.87,3.35
2024-08-01,AVGO,hold,77.0,0.0,high,6.95,6.95,0.0,144.84,-2.11,12.76,17.72
2024-08-02,MU,exit,48.8,86.0,medium,2.47,0.0,-2.47,92.17,-6.36,12.47,8.21
2024-08-02,LRCX,initiate,79.5,79.5,high,0.0,6.66,6.66,75.06,-1.96,9.53,4.82
2024-08-02,AMD,initiate,60.9,66.8,medium,0.0,3.93,3.93,132.5,-2.89,14.49,20.57
2024-08-02,AMAT,initiate,50.0,50.0,medium,0.0,2.43,2.43,179.02,-1.82,10.33,8.67
2024-08-02,MSFT,hold,48.0,0.0,medium,2.5,2.5,0.0,403.04,-2.46,1.91,3.17
2024-08-02,ORCL,hold,65.7,0.0,high,4.85,4.85,0.0,131.32,-5.54,3.6,25.42
2024-08-02,AAPL,hold,48.0,0.0,medium,3.02,3.02,0.0,218.17,-4.57,2.24,3.01
2024-08-02,NVDA,hold,66.6,0.0,high,4.99,4.99,0.0,107.22,-7.79,15.35,9.08
2024-08-02,AVGO,hold,77.0,0.0,high,6.49,6.49,0.0,141.69,-5.25,12.88,16.83
2024-08-03,LRCX,exit,50.0,86.0,medium,6.66,0.0,-6.66,75.06,4.74,11.06,7.02
