ticker,doc_count,claim_count,has_prices
AAPL,7,20,True
ABBV,8,25,True
ABT,5,11,True
ACN,10,34,True
ADI,8,18,True
AMAT,5,15,True
AMD,8,37,True
AMGN,5,19,True
AMZN,4,12,True
ANET,6,14,True
APH,8,28,True
APP,9,34,True
AVGO,9,35,True
AXP,13,53,True
BA,13,33,True
BAC,8,20,True
BKNG,8,25,True
BLK,5,17,True
BMY,5,13,True
BRK-B,5,13,True
C,12,24,True
CAT,7,20,True
CB,9,10,True
COP,12,35,True
COST,9,28,True
CRM,8,24,True
CRWD,9,25,True
CSCO,8,24,True
CVX,9,25,True
DE,7,10,True
DHR,6,19,True
DIS,6,14,True
ETN,7,24,True
GE,6,21,True
GEV,5,19,True
GILD,6,17,True
GOOGL,11,45,True
GS,13,26,True
HCA,6,19,True
HD,9,35,True
HON,13,34,True
IBM,9,25,True
INTC,10,39,True
INTU,7,21,True
ISRG,5,13,True
JNJ,7,15,True
JPM,17,37,True
KLAC,11,30,True
KO,12,33,True
LIN,9,33,True
LLY,10,21,True
LMT,9,26,True
LOW,6,19,True
LRCX,9,26,True
MA,7,26,True
MCD,5,17,True
MCK,9,26,True
META,6,20,True
MO,4,11,True
MRK,5,11,True
MS,8,13,True
MSFT,7,20,True
MU,10,36,True
NEE,13,38,True
NEM,7,11,True
NFLX,6,21,True
NOW,5,24,True
NVDA,7,17,True
ORCL,8,27,True
PANW,8,33,True
PEP,7,21,True
PFE,9,21,True
PG,10,20,True
PGR,11,20,True
PH,6,16,True
PLD,5,10,True
PLTR,6,13,True
PM,16,33,True
QCOM,7,19,True
RTX,8,24,True
SBUX,8,20,True
SCHW,6,19,True
SPGI,7,27,True
SYK,5,16,True
T,7,22,True
TJX,6,14,True
TMO,5,11,True
TMUS,11,37,True
TSLA,7,24,True
TXN,5,17,True
UBER,7,21,True
UNH,9,21,True
UNP,5,18,True
V,7,24,True
VRTX,7,18,True
VZ,16,100,True
WELL,9,29,True
WFC,8,15,True
WMT,10,37,True
XOM,9,15,True
