review_date,ticker,weight_pct,market_value,portfolio_total,cash,cash_weight_pct,num_positions
2024-07-31,AVGO,6.95,70016.14,1007088.44,212.28,0.02,4
2024-07-31,MSFT,2.45,24708.72,1007088.44,212.28,0.02,4
2024-07-31,NVDA,5.24,52799.77,1007088.44,212.28,0.02,4
2024-07-31,SPY,85.33,859351.53,1007088.44,212.28,0.02,4
2024-08-01,AAPL,3.02,29764.01,986679.4,211.08,0.02,7
2024-08-01,AVGO,6.49,64063.82,986679.4,211.08,0.02,7
2024-08-01,MSFT,2.5,24635.48,986679.4,211.08,0.02,7
2024-08-01,MU,2.47,24346.3,986679.4,211.08,0.02,7
2024-08-01,NVDA,4.99,49275.89,986679.4,211.08,0.02,7
2024-08-01,ORCL,4.85,47880.1,986679.4,211.08,0.02,7
2024-08-01,SPY,75.66,746502.72,986679.4,211.08,0.02,7
2024-08-02,AAPL,3.12,29968.47,961378.73,211.67,0.02,9
2024-08-02,AMAT,2.43,23404.13,961378.73,211.67,0.02,9
2024-08-02,AMD,3.93,37741.97,961378.73,211.67,0.02,9
2024-08-02,AVGO,6.52,62669.43,961378.73,211.67,0.02,9
2024-08-02,LRCX,6.66,64016.5,961378.73,211.67,0.02,9
2024-08-02,MSFT,2.51,24126.36,961378.73,211.67,0.02,9
2024-08-02,NVDA,5.03,48400.54,961378.73,211.67,0.02,9
2024-08-02,ORCL,4.83,46407.25,961378.73,211.67,0.02,9
2024-08-02,SPY,64.95,624432.42,961378.73,211.67,0.02,9
2024-08-03,AAPL,3.11,29968.47,964868.32,6665.53,0.69,10
2024-08-03,AMAT,2.43,23404.13,964868.32,6665.53,0.69,10
2024-08-03,AMD,3.91,37741.97,964868.32,6665.53,0.69,10
2024-08-03,AVGO,6.5,62669.43,964868.32,6665.53,0.69,10
2024-08-03,INTC,3.84,37009.78,964868.32,6665.53,0.69,10
2024-08-03,MSFT,2.5,24126.36,964868.32,6665.53,0.69,10
2024-08-03,NVDA,5.02,48400.54,964868.32,6665.53,0.69,10
2024-08-03,ORCL,4.81,46407.25,964868.32,6665.53,0.69,10
2024-08-03,PLTR,2.49,24042.45,964868.32,6665.53,0.69,10
2024-08-03,SPY,64.72,624432.42,964868.32,6665.53,0.69,10
2024-08-04,AAPL,3.11,29968.47,963039.5,24408.54,2.53,10
2024-08-04,AMAT,2.43,23404.13,963039.5,24408.54,2.53,10
2024-08-04,AMD,3.92,37741.97,963039.5,24408.54,2.53,10
2024-08-04,AVGO,6.51,62669.43,963039.5,24408.54,2.53,10
2024-08-04,MSFT,2.51,24126.36,963039.5,24408.54,2.53,10
2024-08-04,NVDA,5.03,48400.54,963039.5,24408.54,2.53,10
2024-08-04,ORCL,4.82,46407.25,963039.5,24408.54,2.53,10
2024-08-04,PLTR,2.5,24042.45,963039.5,24408.54,2.53,10
2024-08-04,SPY,64.84,624432.42,963039.5,24408.54,2.53,10
2024-08-04,TXN,1.81,17437.95,963039.5,24408.54,2.53,10
2024-08-05,AAPL,3.05,28524.97,936059.69,247.28,0.03,11
2024-08-05,AMAT,2.5,23414.43,936059.69,247.28,0.03,11
2024-08-05,AMD,4.1,38402.81,936059.69,247.28,0.03,11
2024-08-05,AVGO,6.61,61911.21,936059.69,247.28,0.03,11
2024-08-05,CSCO,4.91,45942.17,936059.69,247.28,0.03,11
2024-08-05,MSFT,2.49,23338.48,936059.69,247.28,0.03,11
2024-08-05,NVDA,4.84,45323.34,936059.69,247.28,0.03,11
2024-08-05,ORCL,4.76,44520.03,936059.69,247.28,0.03,11
2024-08-05,PLTR,2.5,23410.77,936059.69,247.28,0.03,11
2024-08-05,SPY,62.41,584169.5,936059.69,247.28,0.03,11
2024-08-05,TXN,1.8,16854.71,936059.69,247.28,0.03,11
2024-08-06,AAPL,2.98,28246.91,946326.76,247.28,0.03,11
2024-08-06,AMAT,2.49,23597.22,946326.76,247.28,0.03,11
2024-08-06,AMD,3.92,37081.13,946326.76,247.28,0.03,11
2024-08-06,AVGO,6.63,62712.99,946326.76,247.28,0.03,11
2024-08-06,CSCO,4.9,46373.38,946326.76,247.28,0.03,11
2024-08-06,MSFT,2.49,23601.89,946326.76,247.28,0.03,11
2024-08-06,NVDA,4.97,47037.93,946326.76,247.28,0.03,11
2024-08-06,ORCL,4.72,44641.91,946326.76,247.28,0.03,11
2024-08-06,PLTR,2.73,25840.28,946326.76,247.28,0.03,11
2024-08-06,SPY,62.3,589555.32,946326.76,247.28,0.03,11
2024-08-06,TXN,1.84,17390.52,946326.76,247.28,0.03,11
2024-08-07,AAPL,3.05,28599.94,936643.12,39038.53,4.17,10
2024-08-07,AMAT,2.45,22979.31,936643.12,39038.53,4.17,10
2024-08-07,AVGO,6.34,59379.49,936643.12,39038.53,4.17,10
2024-08-07,CSCO,4.95,46332.4,936643.12,39038.53,4.17,10
2024-08-07,MSFT,2.51,23532.2,936643.12,39038.53,4.17,10
2024-08-07,NVDA,4.76,44628.47,936643.12,39038.53,4.17,10
