review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2024-07-31,1007088.44,212.28,1006876.16,4,0.02,SPY,85.33
2024-08-01,986679.4,211.08,986468.32,7,0.02,SPY,75.66
2024-08-02,961378.73,211.67,961167.06,9,0.02,SPY,64.95
2024-08-03,964868.32,6665.53,958202.79,10,0.69,SPY,64.72
2024-08-04,963039.5,24408.54,938630.96,10,2.53,SPY,64.84
2024-08-05,936059.69,247.28,935812.41,11,0.03,SPY,62.41
2024-08-06,946326.76,247.28,946079.48,11,0.03,SPY,62.3
2024-08-07,936643.12,39038.53,897604.59,10,4.17,SPY,62.52
2024-08-08,965286.45,267.81,965018.64,11,0.03,SPY,60.05
2024-08-09,970406.8,267.81,970138.99,11,0.03,SPY,60.0
2024-08-10,970406.8,267.81,970138.99,11,0.03,SPY,60.0
2024-08-11,970406.8,267.81,970138.99,11,0.03,SPY,60.0
2024-08-12,973066.33,267.81,972798.52,11,0.03,SPY,59.87
2024-08-13,996096.4,209.97,995886.43,11,0.02,SPY,53.93
2024-08-14,999685.4,205.82,999479.58,11,0.02,SPY,47.87
2024-08-15,1028641.46,207.69,1028433.77,11,0.02,SPY,45.82
2024-08-16,1030054.1,207.69,1029846.41,11,0.02,SPY,45.86
2024-08-17,1030054.1,207.69,1029846.41,11,0.02,SPY,45.86
2024-08-18,1030054.1,207.69,1029846.41,11,0.02,SPY,45.86
2024-08-19,1041519.54,207.69,1041311.85,11,0.02,SPY,45.79
2024-08-20,1037223.67,207.69,1037015.98,11,0.02,SPY,45.9
2024-08-21,1043644.7,207.67,1043437.04,11,0.02,SPY,44.29
2024-08-22,1026270.64,203.9,1026066.74,11,0.02,SPY,43.93
2024-08-23,1042377.52,203.9,1042173.62,11,0.02,SPY,43.71
2024-08-24,1042377.52,203.9,1042173.62,11,0.02,SPY,43.71
2024-08-25,1042377.52,203.9,1042173.62,11,0.02,SPY,43.71
2024-08-26,1030262.91,210.3,1030052.61,11,0.02,SPY,42.11
2024-08-27,1035159.66,210.2,1034949.46,11,0.02,SPY,39.97
2024-08-28,1024192.37,210.2,1023982.16,11,0.02,SPY,40.17
2024-08-29,1020704.68,210.2,1020494.48,11,0.02,SPY,40.31
2024-08-30,1036138.53,210.2,1035928.33,11,0.02,SPY,40.09
2024-08-31,1036138.53,210.2,1035928.33,11,0.02,SPY,40.09
2024-09-01,1036138.53,210.2,1035928.33,11,0.02,SPY,40.09
2024-09-02,1036138.53,210.2,1035928.33,11,0.02,SPY,40.09
2024-09-03,995041.29,207.43,994833.86,11,0.02,SPY,39.38
2024-09-04,994436.69,207.43,994229.26,11,0.02,SPY,39.32
2024-09-05,990456.73,207.43,990249.29,11,0.02,SPY,39.38
2024-09-06,965067.2,23084.07,941983.13,10,2.39,SPY,39.74
2024-09-07,965067.2,23084.07,941983.13,10,2.39,SPY,39.74
2024-09-08,965067.2,23084.07,941983.13,10,2.39,SPY,39.74
2024-09-09,985061.3,23084.07,961977.23,10,2.34,SPY,39.37
2024-09-10,1003345.46,23084.07,980261.39,10,2.3,SPY,38.82
2024-09-11,1025999.51,244.56,1025754.95,11,0.02,SPY,36.34
2024-09-12,1037209.31,244.56,1036964.75,11,0.02,SPY,36.25
2024-09-13,1046825.37,244.56,1046580.81,11,0.02,SPY,36.11
2024-09-14,1046825.37,244.56,1046580.81,11,0.02,SPY,36.11
2024-09-15,1046825.37,244.56,1046580.81,11,0.02,SPY,36.11
2024-09-16,1047834.5,244.56,1047589.94,11,0.02,SPY,36.12
2024-09-17,1045851.12,244.56,1045606.57,11,0.02,SPY,36.21
2024-09-18,1040020.19,244.56,1039775.63,11,0.02,SPY,36.3
2024-09-19,1067889.02,244.56,1067644.47,11,0.02,SPY,35.96
2024-09-20,1067875.67,244.56,1067631.12,11,0.02,SPY,35.9
2024-09-21,1067875.67,244.56,1067631.12,11,0.02,SPY,35.9
2024-09-22,1067875.67,244.56,1067631.12,11,0.02,SPY,35.9
2024-09-23,1070910.65,244.56,1070666.09,11,0.02,SPY,35.88
2024-09-24,1075147.01,244.56,1074902.46,11,0.02,SPY,35.85
2024-09-25,1078252.53,244.56,1078007.97,11,0.02,SPY,35.66
2024-09-26,1087369.26,244.56,1087124.7,11,0.02,SPY,35.5
2024-09-27,1077599.9,244.56,1077355.34,11,0.02,SPY,35.77
2024-09-28,1077599.9,244.56,1077355.34,11,0.02,SPY,35.77
2024-09-29,1077599.9,244.56,1077355.34,11,0.02,SPY,35.77
2024-09-30,1081561.42,244.56,1081316.86,11,0.02,SPY,35.79
2024-10-01,1061908.55,244.56,1061663.99,11,0.02,SPY,36.12
2024-10-02,1072197.27,244.56,1071952.71,11,0.02,SPY,35.79
2024-10-03,1077715.47,244.56,1077470.91,11,0.02,SPY,35.54
2024-10-04,1092683.18,244.56,1092438.62,11,0.02,SPY,35.37
2024-10-05,1092683.18,244.56,1092438.62,11,0.02,SPY,35.37
2024-10-06,1092683.18,244.56,1092438.62,11,0.02,SPY,35.37
2024-10-07,1083749.3,244.56,1083504.74,11,0.02,SPY,35.34
2024-10-08,1106020.06,244.56,1105775.5,11,0.02,SPY,34.96
2024-10-09,1123615.63,244.56,1123371.08,11,0.02,SPY,34.65
2024-10-10,1122738.27,244.56,1122493.71,11,0.02,SPY,34.62
2024-10-11,1124901.58,244.56,1124657.02,11,0.02,SPY,34.76
2024-10-12,1124901.58,244.56,1124657.02,11,0.02,SPY,34.76
2024-10-13,1124901.58,244.56,1124657.02,11,0.02,SPY,34.76
2024-10-14,1135149.71,244.56,1134905.15,11,0.02,SPY,34.72
2024-10-15,1101105.18,208.3,1100896.88,11,0.02,SPY,34.02
2024-10-16,1106226.12,208.3,1106017.82,11,0.02,SPY,34.01
2024-10-17,1109392.36,208.3,1109184.06,11,0.02,SPY,33.92
2024-10-18,1113524.86,208.3,1113316.56,11,0.02,SPY,33.92
2024-10-19,1113524.86,208.3,1113316.56,11,0.02,SPY,33.92
2024-10-20,1113524.86,208.3,1113316.56,11,0.02,SPY,33.92
2024-10-21,1115812.33,208.3,1115604.03,11,0.02,SPY,33.79
2024-10-22,1115318.57,208.3,1115110.27,11,0.02,SPY,33.79
2024-10-23,1101147.67,208.3,1100939.37,11,0.02,SPY,33.91
2024-10-24,1104727.19,208.3,1104518.89,11,0.02,SPY,33.88
2024-10-25,1109932.99,208.3,1109724.69,11,0.02,SPY,33.71
2024-10-26,1109932.99,208.3,1109724.69,11,0.02,SPY,33.71
2024-10-27,1109932.99,208.3,1109724.69,11,0.02,SPY,33.71
2024-10-28,1108901.53,208.3,1108693.23,11,0.02,SPY,33.84
2024-10-29,1120948.12,208.3,1120739.82,11,0.02,SPY,33.53
2024-10-30,1112049.79,208.3,1111841.49,11,0.02,SPY,33.7
2024-10-31,1077099.42,208.3,1076891.12,11,0.02,SPY,34.11
2024-11-01,1084485.63,208.3,1084277.33,11,0.02,SPY,34.02
2024-11-02,1084485.63,208.3,1084277.33,11,0.02,SPY,34.02
2024-11-03,1084485.63,208.3,1084277.33,11,0.02,SPY,34.02
2024-11-04,1081665.22,208.3,1081456.92,11,0.02,SPY,34.04
2024-11-05,1119436.14,208.3,1119227.84,11,0.02,SPY,33.28
2024-11-06,1158588.89,208.3,1158380.59,11,0.02,SPY,32.96
2024-11-07,1175705.57,208.3,1175497.27,11,0.02,SPY,32.73
2024-11-08,1178867.74,208.3,1178659.44,11,0.02,SPY,32.78
2024-11-09,1178867.74,208.3,1178659.44,11,0.02,SPY,32.78
2024-11-10,1178867.74,208.3,1178659.44,11,0.02,SPY,32.78
2024-11-11,1174678.12,208.3,1174469.82,11,0.02,SPY,32.93
2024-11-12,1173181.54,208.3,1172973.24,11,0.02,SPY,32.87
2024-11-13,1169917.96,208.3,1169709.66,11,0.02,SPY,32.98
2024-11-14,1158845.06,208.3,1158636.76,11,0.02,SPY,33.08
2024-11-15,1151989.63,23078.14,1128911.49,11,2.0,SPY,32.85
2024-11-16,1152243.54,45947.52,1106296.02,11,3.99,SPY,32.84
2024-11-17,1152386.66,49983.71,1102402.95,11,4.34,SPY,34.25
2024-11-18,1144554.24,49983.71,1094570.53,11,4.37,SPY,34.62
2024-11-19,1156933.82,49983.71,1106950.11,11,4.32,SPY,34.38
2024-11-20,1154814.18,49983.71,1104830.47,11,4.33,SPY,34.45
2024-11-21,1160936.75,32444.71,1128492.03,11,2.79,SPY,34.46
2024-11-22,1168080.46,32444.71,1135635.74,11,2.78,SPY,34.35
2024-11-23,1168080.46,32444.71,1135635.74,11,2.78,SPY,34.35
2024-11-24,1168080.46,32444.71,1135635.74,11,2.78,SPY,34.35
2024-11-25,1164046.15,32444.71,1131601.44,11,2.79,SPY,34.59
